median,p10,p90,count,time_minutes,time_label
226.0,167.0,320.0,1222,0,00:00
226.0,168.2,317.5999999999999,1203,5,00:05
228.0,167.0,330.4000000000001,1287,10,00:10
225.0,169.0,318.0,1211,15,00:15
226.0,169.0,319.0,1210,20,00:20
228.0,169.0,330.29999999999995,1288,25,00:25
224.0,173.0,318.60000000000014,1215,30,00:30
223.5,172.0,320.29999999999995,1208,35,00:35
224.0,172.8,330.20000000000005,1289,40,00:40
224.0,175.0,315.0,1210,45,00:45
224.0,175.0,315.0,1208,50,00:50
225.0,175.0,328.0,1290,55,00:55
223.0,177.0,310.0,1211,60,01:00
224.0,178.60000000000002,312.0,1207,65,01:05
225.0,178.0,325.5,1296,70,01:10
223.0,178.0,307.0,1210,75,01:15
223.0,177.0,308.0,1210,80,01:20
222.0,178.0,321.0,1295,85,01:25
221.0,177.3,305.10000000000014,1214,90,01:30
218.0,178.0,307.0,1211,95,01:35
219.0,178.0,318.0,1290,100,01:40
218.0,178.0,301.20000000000005,1219,105,01:45
217.0,178.4,303.0,1215,110,01:50
219.0,180.1,314.9000000000001,1292,115,01:55
218.0,179.0,298.29999999999995,1278,120,02:00
217.0,177.0,301.20000000000005,1269,125,02:05
218.0,178.1,311.9000000000001,1342,130,02:10
217.0,177.0,294.0,1277,135,02:15
217.0,176.0,298.20000000000005,1269,140,02:20
216.0,176.0,310.0,1339,145,02:25
215.0,176.0,292.0,1285,150,02:30
215.0,174.0,299.0,1275,155,02:35
214.0,175.0,307.4000000000001,1344,160,02:40
212.0,173.0,288.0,1277,165,02:45
213.0,172.0,293.70000000000005,1274,170,02:50
213.0,171.0,304.0,1344,175,02:55
209.0,169.0,287.10000000000014,1280,180,03:00
211.0,168.8,294.0,1269,185,03:05
210.0,169.0,306.0,1346,190,03:10
208.0,168.0,289.0,1284,195,03:15
208.0,168.0,295.4000000000001,1279,200,03:20
208.0,167.0,305.0,1348,205,03:25
206.0,165.0,288.0,1285,210,03:30
207.0,164.0,290.4000000000001,1284,215,03:35
206.0,165.0,300.4000000000001,1344,220,03:40
204.0,164.0,287.70000000000005,1284,225,03:45
205.0,163.0,293.0,1283,230,03:50
205.0,163.0,299.0,1354,235,03:55
202.0,163.0,281.9000000000001,1292,240,04:00
202.0,162.0,287.0,1281,245,04:05
202.0,160.0,294.4000000000001,1354,250,04:10
201.0,158.0,278.70000000000005,1284,255,04:15
201.0,157.0,286.0,1286,260,04:20
201.0,156.0,294.0,1349,265,04:25
200.0,156.0,280.0,1292,270,04:30
200.0,155.0,285.4000000000001,1287,275,04:35
200.5,154.0,288.9000000000001,1352,280,04:40
199.0,151.0,280.0,1290,285,04:45
198.0,150.0,282.0,1281,290,04:50
199.0,150.0,291.0,1360,295,04:55
198.0,148.1,279.0,1292,300,05:00
